client_id,process_step,logons_6_mnth,calls_6_mnth,engagement_score,clnt_tenure_yr,clnt_age,gendr,num_accts,bal
3545814,68,612.0,408.0,1088.0,13.0,59.0,M,3.0,5754204.68
1595223,65,520.0,325.0,910.0,23.0,83.0,M,3.0,1291698.48
2261960,39,351.0,234.0,624.0,12.0,75.0,F,2.0,395906.96
4167815,36,324.0,216.0,576.0,10.0,65.0,F,2.0,86785.95999999999
9638063,33,297.0,198.0,528.0,33.0,78.0,F,2.0,87107.79000000001
6686840,32,288.0,192.0,512.0,31.0,67.5,F,3.0,66859.45
3050718,36,288.0,180.0,504.0,5.0,52.0,F,2.0,136892.72
5822755,30,270.0,180.0,480.0,15.0,62.5,M,3.0,336108.16
465007,30,270.0,180.0,480.0,14.0,73.0,M,3.0,126442.72
7597144,33,264.0,165.0,462.0,5.0,67.0,M,2.0,140305.91
1107994,28,252.0,168.0,448.0,15.0,68.0,F,2.0,46177.9
9341024,28,252.0,168.0,448.0,6.0,67.5,F,2.0,163660.31
2138772,32,256.0,160.0,448.0,17.0,54.5,F,2.0,192836.94
363952,27,243.0,162.0,432.0,4.0,57.5,F,2.0,243829.36
6158691,26,234.0,156.0,416.0,10.0,61.0,M,2.0,74081.29000000001
5468697,52,260.0,104.0,416.0,10.0,67.0,F,2.0,24991.54
6219677,24,216.0,144.0,384.0,14.0,68.0,F,2.0,250070.76
7321048,24,216.0,144.0,384.0,18.0,63.0,F,3.0,191942.68
9653889,24,216.0,144.0,384.0,19.0,58.5,M,3.0,51071.67999999999
1621451,23,207.0,138.0,368.0,11.0,66.0,F,2.0,63651.99
6026701,26,208.0,130.0,364.0,12.0,55.0,M,2.0,160808.65999999997
8955074,44,220.0,88.0,352.0,6.0,61.0,M,2.0,116968.85
2903383,24,192.0,120.0,336.0,10.0,71.5,F,2.0,119198.66
1170750,24,192.0,120.0,336.0,12.0,53.0,M,2.0,76053.88
8312319,33,198.0,99.0,330.0,16.0,42.0,F,2.0,147125.15
2528365,19,171.0,114.0,304.0,15.0,38.0,M,2.0,194570.04
8293875,25,175.0,100.0,300.0,19.0,63.5,F,2.0,140021.59999999998
6374745,18,162.0,108.0,288.0,17.0,63.0,M,3.0,2206369.14
8089000,18,162.0,108.0,288.0,12.0,63.5,F,2.0,221765.07
3780314,18,162.0,108.0,288.0,5.0,65.5,M,2.0,191648.1
4712253,18,162.0,108.0,288.0,23.0,75.5,F,3.0,2416888.09
5878089,46,184.0,46.0,276.0,8.0,23.0,M,2.0,29591.95
7706345,17,153.0,102.0,272.0,16.0,79.5,F,3.0,337732.79
7769344,17,153.0,102.0,272.0,18.0,65.5,F,2.0,27101.71
9203677,17,153.0,102.0,272.0,22.0,56.0,F,4.0,228383.01
8910393,17,153.0,102.0,272.0,15.0,62.0,F,3.0,202102.42
7572631,17,153.0,102.0,272.0,5.0,66.5,F,2.0,38860.33
1257039,17,153.0,102.0,272.0,21.0,62.0,F,2.0,36283.39
4477529,17,153.0,102.0,272.0,11.0,69.5,M,2.0,424752.89
7151761,17,153.0,102.0,272.0,23.0,74.5,F,2.0,97281.93
1715399,17,153.0,102.0,272.0,15.0,66.5,M,2.0,276184.69
9892972,19,152.0,95.0,266.0,15.0,61.5,F,2.0,198954.66
2178793,19,152.0,95.0,266.0,9.0,59.5,F,2.0,42228.17999999999
6640148,43,172.0,43.0,258.0,12.0,74.0,M,2.0,32251.46
9701087,16,144.0,96.0,256.0,21.0,67.5,M,2.0,263815.2
4350933,16,144.0,96.0,256.0,24.0,66.0,F,2.0,193390.84000000003
8242142,16,144.0,96.0,256.0,17.0,57.5,M,2.0,125162.49
898595,16,144.0,96.0,256.0,24.0,69.5,M,6.0,457488.03
4297948,21,147.0,84.0,252.0,10.0,64.5,M,2.0,51870.25
3948954,15,135.0,90.0,240.0,25.0,62.5,F,3.0,366400.07
6589077,15,135.0,90.0,240.0,32.0,85.0,M,2.0,84240.76
8794498,20,140.0,80.0,240.0,9.0,67.0,F,2.0,34197.53
2698101,24,144.0,72.0,240.0,16.0,64.5,M,2.0,27919.89
1374037,15,135.0,90.0,240.0,10.0,48.5,M,2.0,238516.15
7347761,15,135.0,90.0,240.0,9.0,77.5,M,2.0,155969.46999999997
5164844,15,135.0,90.0,240.0,11.0,62.0,F,2.0,117640.19
7533968,15,135.0,90.0,240.0,28.0,63.0,F,2.0,81845.78
7168003,15,135.0,90.0,240.0,33.0,74.0,F,3.0,153793.31
8526018,15,135.0,90.0,240.0,30.0,84.0,M,3.0,799362.5900000001
5553389,15,135.0,90.0,240.0,5.0,31.5,F,2.0,41617.66
6976539,17,136.0,85.0,238.0,20.0,50.5,F,2.0,124487.61
159875,17,136.0,85.0,238.0,4.0,59.0,M,2.0,96630.85
8675023,23,138.0,69.0,230.0,14.0,28.0,M,3.0,107538.15
5165430,38,152.0,38.0,228.0,16.0,71.5,F,2.0,480249.07
6116287,19,133.0,76.0,228.0,11.0,64.5,F,2.0,30857.43
9994115,19,133.0,76.0,228.0,20.0,53.5,F,3.0,134233.63
9326114,14,126.0,84.0,224.0,7.0,51.5,M,5.0,1250915.79
7668231,14,126.0,84.0,224.0,5.0,69.5,F,2.0,252605.35
6244184,14,126.0,84.0,224.0,14.0,65.5,M,2.0,496844.32
8047921,14,126.0,84.0,224.0,13.0,65.5,F,2.0,119434.91
6727214,14,126.0,84.0,224.0,20.0,57.5,F,3.0,1479175.48
5535892,14,126.0,84.0,224.0,10.0,25.5,F,3.0,81821.07
5159329,16,128.0,80.0,224.0,17.0,60.0,F,2.0,245612.96
9887022,14,126.0,84.0,224.0,12.0,63.5,M,2.0,72223.48
7402550,14,126.0,84.0,224.0,21.0,81.0,F,2.0,234281.07
5565881,14,126.0,84.0,224.0,34.0,71.5,M,2.0,296956.77
2503853,14,126.0,84.0,224.0,14.0,59.5,F,2.0,85432.34
6548321,14,126.0,84.0,224.0,14.0,41.5,F,4.0,413498.51
7634525,14,126.0,84.0,224.0,12.0,47.5,M,2.0,1465928.94
5639772,14,126.0,84.0,224.0,17.0,52.0,F,2.0,31251.45
6251214,14,126.0,84.0,224.0,13.0,52.5,F,2.0,39285.39
8368263,14,126.0,84.0,224.0,10.0,64.5,M,3.0,508964.83
4702213,14,126.0,84.0,224.0,19.0,56.5,F,3.0,122710.68
3065089,14,126.0,84.0,224.0,19.0,63.0,M,2.0,439723.43
7915367,22,132.0,66.0,220.0,25.0,71.0,F,2.0,39110.19
7984893,18,126.0,72.0,216.0,16.0,64.0,M,3.0,159645.7
7342125,15,120.0,75.0,210.0,16.0,67.5,M,2.0,571864.5800000001
296314,15,120.0,75.0,210.0,13.0,65.5,F,2.0,94929.26
4204913,15,120.0,75.0,210.0,11.0,55.0,F,2.0,793763.12
6108230,15,120.0,75.0,210.0,26.0,73.0,M,2.0,203126.9
2033019,13,117.0,78.0,208.0,20.0,48.5,M,2.0,305839.79
24443,13,117.0,78.0,208.0,10.0,49.0,M,2.0,331869.28
6754609,13,117.0,78.0,208.0,13.0,37.0,M,2.0,33240.0
3644201,13,117.0,78.0,208.0,5.0,70.0,M,2.0,720785.43
963965,13,117.0,78.0,208.0,12.0,61.0,M,2.0,25789.57
3721289,13,117.0,78.0,208.0,19.0,56.5,F,3.0,486506.05
2447231,13,117.0,78.0,208.0,13.0,62.5,M,2.0,154070.07
5485527,13,117.0,78.0,208.0,27.0,80.0,M,2.0,375450.52
374973,13,117.0,78.0,208.0,16.0,83.0,F,3.0,95922.56
4144091,13,117.0,78.0,208.0,21.0,25.0,F,3.0,329412.53
7845269,13,117.0,78.0,208.0,16.0,42.0,F,2.0,91164.03
1212878,13,117.0,78.0,208.0,9.0,67.5,F,2.0,152738.15
9173661,13,117.0,78.0,208.0,21.0,71.5,F,3.0,68424.29999999999
2651828,13,117.0,78.0,208.0,3.0,75.0,M,2.0,193334.04
5986204,13,117.0,78.0,208.0,18.0,66.5,M,3.0,119499.47
7942178,16,128.0,64.0,208.0,5.0,52.0,F,2.0,60737.21
8206815,13,117.0,78.0,208.0,15.0,55.0,M,2.0,73258.26
6440517,13,117.0,78.0,208.0,27.0,74.0,F,2.0,170855.59000000003
1645625,13,117.0,78.0,208.0,13.0,63.0,F,2.0,517016.57
6385101,13,117.0,78.0,208.0,23.0,58.5,M,3.0,2007672.95
5476568,13,117.0,78.0,208.0,9.0,84.0,M,3.0,92879.44
4657902,13,117.0,78.0,208.0,13.0,59.0,M,2.0,218046.78
6413533,13,117.0,78.0,208.0,6.0,67.0,M,2.0,442256.94
6328200,17,119.0,68.0,204.0,21.0,67.5,F,3.0,1013860.16
2946941,17,119.0,68.0,204.0,6.0,25.0,M,3.0,48672.11
1155711,20,120.0,60.0,200.0,12.0,44.5,M,2.0,26029.46
897243,14,112.0,70.0,196.0,22.0,53.5,M,3.0,56681.92
3093476,14,112.0,70.0,196.0,21.0,45.5,M,2.0,170281.45
7116423,14,112.0,70.0,196.0,5.0,55.5,F,2.0,54050.38
3658635,12,108.0,72.0,192.0,16.0,58.5,M,3.0,75570.92
9375060,12,108.0,72.0,192.0,9.0,64.0,F,2.0,28504.87
9973919,12,108.0,72.0,192.0,18.0,52.0,F,2.0,25318.46
9811932,12,108.0,72.0,192.0,19.0,67.5,F,3.0,297118.88
8406607,24,120.0,48.0,192.0,11.0,66.5,M,2.0,192026.8
8717040,12,108.0,72.0,192.0,5.0,62.0,F,2.0,407999.71
6815179,16,112.0,64.0,192.0,12.0,49.0,M,2.0,50129.16
608749,16,112.0,64.0,192.0,9.0,50.5,F,2.0,38734.42
1436455,12,108.0,72.0,192.0,22.0,59.5,M,2.0,46597.61
7505356,16,112.0,64.0,192.0,16.0,80.5,F,2.0,37468.62
2302372,12,108.0,72.0,192.0,26.0,75.0,M,3.0,506179.25
639964,12,108.0,72.0,192.0,11.0,36.0,F,2.0,116918.95
1660205,12,108.0,72.0,192.0,21.0,79.0,M,3.0,492266.54
1340865,12,108.0,72.0,192.0,18.0,51.0,F,2.0,228133.12
8780422,12,108.0,72.0,192.0,4.0,70.5,F,2.0,159619.43
7341353,19,114.0,57.0,190.0,30.0,57.5,F,2.0,167648.74
5426051,13,104.0,65.0,182.0,20.0,58.5,F,2.0,308097.07
6078015,13,104.0,65.0,182.0,15.0,77.0,M,2.0,43703.05
6587845,13,104.0,65.0,182.0,12.0,56.0,F,2.0,221166.01
5219742,13,104.0,65.0,182.0,16.0,44.5,F,2.0,60711.3
2333118,18,108.0,54.0,180.0,24.0,74.5,F,3.0,413325.24
1871853,18,108.0,54.0,180.0,4.0,64.5,M,2.0,74262.36
1867505,18,108.0,54.0,180.0,11.0,41.5,M,2.0,124364.64
89959,15,105.0,60.0,180.0,10.0,38.5,F,2.0,101858.64
9132604,15,105.0,60.0,180.0,31.0,34.0,F,2.0,162642.07
408411,11,99.0,66.0,176.0,17.0,51.5,M,2.0,223768.68
6219655,11,99.0,66.0,176.0,21.0,54.5,M,2.0,47656.25
20185,22,110.0,44.0,176.0,15.0,60.5,F,2.0,69992.51999999999
7529158,11,99.0,66.0,176.0,14.0,73.0,F,2.0,41528.28999999999
3158341,11,99.0,66.0,176.0,27.0,71.0,M,3.0,1581691.79
7151392,11,99.0,66.0,176.0,6.0,63.0,M,2.0,450799.88
4272509,11,99.0,66.0,176.0,19.0,55.5,M,2.0,134631.15
6260538,11,99.0,66.0,176.0,28.0,70.0,F,2.0,163223.3
5924947,11,99.0,66.0,176.0,16.0,65.5,M,2.0,112249.74
3808594,11,99.0,66.0,176.0,12.0,54.0,F,3.0,45813.77
4815295,11,99.0,66.0,176.0,21.0,59.5,M,2.0,42840.19
9052308,11,99.0,66.0,176.0,19.0,59.0,M,3.0,285763.87
4318672,11,99.0,66.0,176.0,15.0,56.5,M,2.0,47462.91
6831651,11,99.0,66.0,176.0,10.0,58.0,M,3.0,159795.81
9651697,11,99.0,66.0,176.0,16.0,27.0,M,2.0,52874.17999999999
4043033,11,99.0,66.0,176.0,30.0,55.5,M,3.0,374028.17
2975456,11,99.0,66.0,176.0,22.0,70.5,F,2.0,56537.35
4462647,11,99.0,66.0,176.0,19.0,69.0,M,2.0,608294.9700000001
6146877,11,99.0,66.0,176.0,14.0,21.5,F,2.0,48358.39
7327040,17,102.0,51.0,170.0,8.0,61.0,F,2.0,47455.92
9786097,14,98.0,56.0,168.0,14.0,65.0,M,2.0,60481.7
6626469,12,108.0,48.0,168.0,21.0,47.5,F,3.0,310490.47
